Key,zh_CN,en_US,ja_JP,ko_KR
ui.home.title,主界面,Home,ホーム,홈
ui.home.btn_play,开始游戏,Play,プレイ,플레이
ui.home.btn_settings,设置,Settings,設定,설정
ui.game.steps,步数：{0},Steps: {0},残り手数：{0},남은 수: {0}
ui.game.score,分数：{0},Score: {0},スコア：{0},점수: {0}
ui.game.clear,通关成功！,Level Cleared!,クリア！,클리어!
ui.result.stars,获得 {0} 星,You got {0} stars,{0} 星獲得,{0} 별 획득
item.1.name,锤子,Hammer,ハンマー,망치
item.2.name,横消,Clear Row,横消し,가로 제거
item.3.name,竖消,Clear Column,縦消し,세로 제거
item.4.name,九宫格炸弹,3x3 Bomb,3×3ボム,3x3 폭탄
item.5.name,洗牌,Shuffle,シャッフル,셔플
item.6.name,加五步,Extra Steps,手数+5,수 +5
common.ok,确定,OK,OK,확인
common.cancel,取消,Cancel,キャンセル,취소
common.loading,加载中…,Loading…,読み込み中…,로딩 중…
